timestamp,model,question,total_steps,total_agent_time_s,notebook_runtime_s,input_tokens,output_tokens,answer
2025-11-11T16:41:28.839850,qwen/qwen-2.5-coder-32b-instruct,What are the unique set of merchants in the payments data?,5,21.44,22.53,14403,1786,"Crossfit_Hanna, Belles_cookbook_store, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:42:01.965437,qwen/qwen-2.5-coder-32b-instruct,What are the unique set of merchants in the payments data?,5,21.63,22.81,12948,1211,"Crossfit_Hanna,Belles_cookbook_store,Golfclub_Baron_Friso,Martinis_Fine_Steakhouse,Rafa_AI"
2025-11-11T16:42:57.723621,qwen/qwen3-coder,What are the unique set of merchants in the payments data?,3,7.97,9.03,4803,124,"Crossfit_Hanna, Belles_cookbook_store, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:44:02.579388,deepseek/deepseek-chat-v3.1,What are the unique set of merchants in the payments data?,5,21.57,22.6,12438,527,"Crossfit_Hanna, Belles_cookbook_store, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:45:09.917422,deepseek/deepseek-v3.1-terminus,What are the unique set of merchants in the payments data?,5,32.73,33.89,12830,627,"Crossfit_Hanna, Belles_cookbook_store, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:46:45.138991,deepseek/deepseek-v3.2-exp,What are the unique set of merchants in the payments data?,5,28.67,29.66,12466,490,"Crossfit_Hanna, Belles_cookbook_store, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:47:37.776844,moonshotai/kimi-k2-0905,What are the unique set of merchants in the payments data?,6,29.07,30.11,17788,724,"Belles_cookbook_store, Crossfit_Hanna, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:48:16.399204,z-ai/glm-4.5-air,What are the unique set of merchants in the payments data?,3,11.63,12.72,5814,333,"Crossfit_Hanna, Belles_cookbook_store, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:49:43.515257,z-ai/glm-4.5,What are the unique set of merchants in the payments data?,6,49.57,50.66,17608,1026,"Belles_cookbook_store, Crossfit_Hanna, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:50:38.087623,openai/gpt-oss-20b,What are the unique set of merchants in the payments data?,9,21.16,22.21,23813,2576,
2025-11-11T16:51:54.458387,openai/gpt-oss-120b,What are the unique set of merchants in the payments data?,7,38.72,39.78,16495,2986,"Belles_cookbook_store, Crossfit_Hanna, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:52:39.312395,openai/gpt-4o-mini,What are the unique set of merchants in the payments data?,4,9.51,10.53,8744,357,"Crossfit_Hanna, Belles_cookbook_store, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:55:25.858097,openai/gpt-5-nano,What are the unique set of merchants in the payments data?,3,61.31,62.32,6658,6573,"Belles_cookbook_store, Crossfit_Hanna, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:57:08.982865,openai/gpt-5-mini,What are the unique set of merchants in the payments data?,4,75.92,76.96,15076,4888,"Crossfit_Hanna, Belles_cookbook_store, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:58:21.068577,x-ai/grok-code-fast-1,What are the unique set of merchants in the payments data?,4,22.75,24.04,8937,2566,"Belles_cookbook_store, Crossfit_Hanna, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
2025-11-11T16:59:02.138089,x-ai/grok-4-fast,What are the unique set of merchants in the payments data?,4,9.81,10.84,9262,1613,"Belles_cookbook_store, Crossfit_Hanna, Golfclub_Baron_Friso, Martinis_Fine_Steakhouse, Rafa_AI"
